GEO_ID,NAME,C14002_016E,K-12
24001,"Allegany County, Maryland",2841,9364
24003,"Anne Arundel County, Maryland",21073,92014
24005,"Baltimore County, Maryland",28586,127422
24009,"Calvert County, Maryland",4647,16327
24013,"Carroll County, Maryland",8607,2000
24015,"Cecil County, Maryland",4585,17604
24017,"Charles County, Maryland",8128,2246
24021,"Frederick County, Maryland",14411,4191
24025,"Harford County, Maryland",11056,2779
24027,"Howard County, Maryland",17410,59204
24031,"Montgomery County, Maryland",50271,178166
24033,"Prince George's County, Maryland",37870,143842
24037,"St. Mary's County, Maryland",6060,20002
24043,"Washington County, Maryland",6995,24556
24045,"Wicomico County, Maryland",5072,16766
24510,"Baltimore city, Maryland",20648,87417
